question_id,concept_ids
0,"[0, 9]"
1,"[0, 9]"
2,"[102, 21]"
3,"[102, 21]"
4,"[102, 21]"
5,"[88, 77, 106, 21]"
6,"[88, 77, 106, 21]"
7,"[88, 77, 106, 21]"
8,"[88, 77, 106, 21]"
9,"[88, 107, 21]"
10,"[88, 77, 21]"
11,"[88, 107, 21]"
12,"[88, 77, 21]"
13,"[102, 21]"
14,"[102, 21]"
15,[82]
16,[82]
17,[82]
18,"[79, 90]"
19,"[79, 90]"
20,"[79, 90]"
21,[108]
22,[108]
23,"[10, 116]"
24,"[116, 8]"
25,"[11, 116]"
26,"[1, 8]"
27,"[1, 8]"
28,"[1, 9]"
29,"[1, 9]"
30,"[10, 1]"
31,"[10, 1]"
32,"[95, 1]"
33,"[18, 1]"
34,"[18, 1]"
35,"[11, 1]"
36,"[11, 1]"
37,[6]
38,[6]
39,[6]
40,[6]
41,[6]
42,"[6, 102]"
43,"[6, 102]"
44,"[6, 102]"
45,"[6, 102]"
46,"[6, 102]"
47,"[6, 102]"
48,"[6, 102]"
49,[9]
50,[11]
51,[12]
52,"[12, 16]"
53,"[12, 16]"
54,"[12, 16]"
55,"[12, 16]"
56,"[12, 16]"
57,"[12, 16]"
58,"[12, 16]"
59,"[12, 16]"
60,"[12, 16]"
61,[16]
62,[16]
63,[16]
64,[16]
65,[16]
66,[16]
67,[18]
68,[18]
69,[18]
70,[18]
71,[18]
72,"[26, 24]"
73,[24]
74,[28]
75,[28]
76,[28]
77,[29]
78,[31]
79,[31]
80,[31]
81,[31]
82,[31]
83,[31]
84,[31]
85,[31]
86,[31]
87,[31]
88,[31]
89,[31]
90,[31]
91,[31]
92,[31]
93,[31]
94,[31]
95,[31]
96,[31]
97,[31]
98,[31]
99,[31]
100,[31]
101,[31]
102,[31]
103,[31]
104,[31]
105,[31]
106,[31]
107,[31]
108,[31]
109,[31]
110,[31]
111,[56]
112,"[65, 110]"
113,[65]
114,"[34, 65]"
115,"[34, 65]"
116,"[34, 65]"
117,"[34, 65]"
118,"[70, 86]"
119,"[70, 86]"
120,"[70, 86]"
121,"[70, 86]"
122,"[70, 86]"
123,"[70, 86]"
124,[81]
125,[81]
126,[83]
127,[83]
128,[83]
129,[84]
130,[86]
131,[86]
132,[86]
133,[86]
134,[86]
135,[86]
136,[86]
137,[86]
138,[86]
139,[86]
140,[86]
141,[86]
142,[86]
143,[86]
144,[87]
145,[87]
146,[87]
147,[87]
148,[87]
149,[87]
150,[87]
151,[87]
152,[87]
153,[87]
154,[87]
155,[87]
156,[87]
157,[87]
158,[87]
159,[87]
160,[87]
161,[89]
162,[89]
163,"[91, 89]"
164,[89]
165,[89]
166,[89]
167,"[91, 89]"
168,[89]
169,[89]
170,[91]
171,[91]
172,[91]
173,[91]
174,[91]
175,[91]
176,[91]
177,[91]
178,[91]
179,[91]
180,[91]
181,[92]
182,[92]
183,[92]
184,"[104, 92, 93]"
185,"[104, 92, 93]"
186,"[104, 92, 93]"
187,"[104, 92, 93]"
188,"[104, 92, 93]"
189,"[104, 92, 93]"
190,"[104, 92, 93]"
191,"[104, 92, 93]"
192,"[104, 92, 93]"
193,"[104, 92, 93]"
194,"[104, 92, 93]"
195,"[104, 92, 93]"
196,"[104, 92, 93]"
197,"[104, 92, 93]"
198,"[104, 92, 93]"
199,[92]
200,[92]
201,"[104, 92, 93]"
202,"[104, 92, 93]"
203,"[104, 92, 93]"
204,"[104, 92, 93]"
205,"[104, 92, 93]"
206,"[104, 92, 93]"
207,"[104, 92, 93]"
208,"[104, 92, 93]"
209,"[104, 92, 93]"
210,"[104, 92, 93]"
211,"[104, 92, 93]"
212,"[104, 92, 93]"
213,"[104, 92, 93]"
214,"[104, 92, 93]"
215,"[104, 92, 93]"
216,[94]
217,[94]
218,[94]
219,[95]
220,"[95, 114]"
221,"[95, 114]"
222,[95]
223,[95]
224,[95]
225,[95]
226,[95]
227,"[95, 114]"
228,"[95, 114]"
229,[95]
230,[95]
231,[95]
232,[95]
233,[96]
234,[96]
235,"[97, 104]"
236,"[97, 104]"
237,"[97, 104]"
238,"[97, 104]"
239,"[97, 104]"
240,"[97, 104]"
241,"[97, 104]"
242,"[97, 104]"
243,"[97, 104]"
244,"[97, 104]"
245,"[97, 104]"
246,"[97, 104]"
247,"[97, 104]"
248,"[97, 104]"
249,"[97, 104]"
250,"[97, 104]"
251,[99]
252,[99]
253,[99]
254,[99]
255,[99]
256,[99]
257,[99]
258,[99]
259,[99]
260,[99]
261,[100]
262,[100]
263,[100]
264,[100]
265,[100]
266,[102]
267,[102]
268,[102]
269,[102]
270,[102]
271,[102]
272,"[118, 103]"
273,"[118, 103]"
274,"[118, 103]"
275,"[118, 103]"
276,"[118, 103]"
277,"[118, 103]"
278,"[118, 103]"
279,"[118, 103]"
280,"[118, 103]"
281,"[118, 103]"
282,"[118, 103]"
283,"[118, 103]"
284,"[118, 103]"
285,"[118, 103]"
286,"[118, 103]"
287,[104]
288,[104]
289,[104]
290,[104]
291,[104]
292,[104]
293,[104]
294,[104]
295,[104]
296,[104]
297,[104]
298,[104]
299,[104]
300,[104]
301,[104]
302,[104]
303,[104]
304,[105]
305,[105]
306,[106]
307,[106]
308,[106]
309,[106]
310,[106]
311,[106]
312,[106]
313,[106]
314,[106]
315,[106]
316,[106]
317,[106]
318,[106]
319,[106]
320,[106]
321,[106]
322,[107]
323,[107]
324,[107]
325,[107]
326,[107]
327,[107]
328,[107]
329,[107]
330,[107]
331,[107]
332,[107]
333,[107]
334,[107]
335,[107]
336,[107]
337,[107]
338,[107]
339,[107]
340,[107]
341,[107]
342,[107]
343,[107]
344,[107]
345,[107]
346,[107]
347,[109]
348,[109]
349,[109]
350,[109]
351,[109]
352,[110]
353,[110]
354,[110]
355,[110]
356,[110]
357,[110]
358,[110]
359,[111]
360,[111]
361,[111]
362,[111]
363,[111]
364,[111]
365,[111]
366,[111]
367,[111]
368,[111]
369,[112]
370,[112]
371,[112]
372,[112]
373,[112]
374,[112]
375,[112]
376,[112]
377,[112]
378,[112]
379,[112]
380,[112]
381,[112]
382,[112]
383,[112]
384,[112]
385,[112]
386,[112]
387,[112]
388,[112]
389,[112]
390,[112]
391,[112]
392,[112]
393,[112]
394,[112]
395,[112]
396,[112]
397,[112]
398,[112]
399,[113]
400,[113]
401,[113]
402,[113]
403,[113]
404,[113]
405,[113]
406,[115]
407,[115]
408,[115]
409,[115]
410,[117]
411,[118]
412,"[118, 59]"
413,[119]
414,[120]
415,[2]
416,[2]
417,[5]
418,[7]
419,[7]
420,[32]
421,[32]
422,[33]
423,[33]
424,[33]
425,[33]
426,[33]
427,[33]
428,[33]
429,[33]
430,[33]
431,[34]
432,[34]
433,[34]
434,[34]
435,[34]
436,[34]
437,[34]
438,[34]
439,[35]
440,[35]
441,[35]
442,[35]
443,[35]
444,[35]
445,[35]
446,[35]
447,[35]
448,[35]
449,[35]
450,[35]
451,[35]
452,[35]
453,[36]
454,[36]
455,[36]
456,[36]
457,[36]
458,[36]
459,[36]
460,[36]
461,[37]
462,[37]
463,[38]
464,[39]
465,[40]
466,[42]
467,[43]
468,[46]
469,[46]
470,[47]
471,[47]
472,[47]
473,[47]
474,[47]
475,[48]
476,[49]
477,[50]
478,[50]
479,[50]
480,[50]
481,[50]
482,[50]
483,[50]
484,[50]
485,[50]
486,[51]
487,[51]
488,[51]
489,[51]
490,[52]
491,[52]
492,[52]
493,[52]
494,[52]
495,[52]
496,[52]
497,[52]
498,[52]
499,[52]
500,[52]
501,[52]
502,[52]
503,[52]
504,[52]
505,[52]
506,[52]
507,[52]
508,[52]
509,[53]
510,[53]
511,[53]
512,[53]
513,[53]
514,[53]
515,[53]
516,[53]
517,[53]
518,[58]
519,[59]
520,[59]
521,[59]
522,[59]
523,[59]
524,[61]
525,[61]
526,[61]
527,[61]
528,[61]
529,[61]
530,[61]
531,[61]
532,[61]
533,[61]
534,[61]
535,[61]
536,[61]
537,[61]
538,[61]
539,[61]
540,[74]
541,[76]
542,[76]
543,"[0, 9]"
544,"[0, 9]"
